Airline,Source,Destination,Total_Stops,Day,Month,Total_Duration
Jet Airways,Delhi,Cochin,1,24,6,22.583333333333332
Jet Airways,Banglore,Delhi,0,9,6,3.0833333333333335
SpiceJet,Kolkata,Banglore,0,24,3,2.6666666666666665
Vistara,Banglore,Delhi,0,27,6,2.8333333333333335
Air India,Banglore,Delhi,1,6,3,21.083333333333332
Jet Airways,Kolkata,Banglore,1,24,3,11.833333333333334
Air India,Delhi,Cochin,1,15,5,25.583333333333332
Multiple carriers,Delhi,Cochin,1,12,6,15.416666666666666
IndiGo,Chennai,Kolkata,0,3,3,2.4166666666666665
Air Asia,Kolkata,Banglore,1,9,4,3.6666666666666665
IndiGo,Banglore,Delhi,0,9,3,2.9166666666666665
Vistara,Delhi,Cochin,0,15,4,3.1666666666666665
Air Asia,Kolkata,Banglore,1,24,5,11.833333333333334
IndiGo,Banglore,Delhi,0,9,4,2.8333333333333335
SpiceJet,Banglore,Delhi,0,3,4,2.8333333333333335
IndiGo,Mumbai,Hyderabad,0,3,6,1.5
Multiple carriers,Delhi,Cochin,1,9,5,11.5
Multiple carriers,Delhi,Cochin,1,27,3,8.833333333333334
Jet Airways,Kolkata,Banglore,1,12,6,20.25
Air India,Kolkata,Banglore,2,24,3,20.166666666666668
Jet Airways,Banglore,Delhi,1,18,3,16.083333333333332
Multiple carriers,Delhi,Cochin,1,6,3,12.583333333333334
Jet Airways,Delhi,Cochin,2,9,5,17.083333333333332
IndiGo,Banglore,Delhi,0,9,4,3.0
Vistara,Kolkata,Banglore,1,1,5,15.5
Multiple carriers,Delhi,Cochin,1,6,6,11.5
SpiceJet,Chennai,Kolkata,0,27,3,2.3333333333333335
Jet Airways,Delhi,Cochin,1,1,6,23.75
SpiceJet,Mumbai,Hyderabad,0,18,6,1.5
IndiGo,Kolkata,Banglore,0,18,5,2.5833333333333335
Jet Airways,Delhi,Cochin,1,27,5,24.75
Jet Airways,Delhi,Cochin,2,1,6,21.583333333333332
Air Asia,Delhi,Cochin,1,9,5,5.5
Air India,Delhi,Cochin,1,15,5,12.25
IndiGo,Delhi,Cochin,1,3,3,8.083333333333334
Jet Airways,Delhi,Cochin,1,21,5,5.0
SpiceJet,Banglore,Delhi,0,6,6,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,1,3,6.416666666666667
IndiGo,Chennai,Kolkata,0,3,6,2.3333333333333335
Air India,Banglore,Delhi,0,9,3,2.75
Air India,Kolkata,Banglore,2,6,6,12.75
Jet Airways,Banglore,Delhi,1,12,3,15.833333333333334
Jet Airways,Delhi,Cochin,2,3,6,27.0
Air India,Delhi,Cochin,3,15,6,26.416666666666668
GoAir,Banglore,Delhi,0,9,3,2.9166666666666665
Air India,Delhi,Cochin,2,6,6,24.833333333333332
Jet Airways,Kolkata,Banglore,1,6,6,8.666666666666666
Air India,Delhi,Cochin,2,21,5,25.75
IndiGo,Banglore,Delhi,0,18,4,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,3,6,6.25
Multiple carriers,Delhi,Cochin,1,12,6,10.5
Air India,Delhi,Cochin,2,18,5,26.0
Jet Airways,Kolkata,Banglore,1,12,6,17.083333333333332
Jet Airways,Delhi,Cochin,1,21,5,21.333333333333332
Jet Airways,Delhi,Cochin,1,21,3,5.583333333333333
IndiGo,Banglore,Delhi,0,18,5,2.8333333333333335
Vistara,Kolkata,Banglore,1,24,3,25.833333333333332
Jet Airways,Kolkata,Banglore,1,12,5,12.166666666666666
Jet Airways,Delhi,Cochin,2,18,5,17.083333333333332
Multiple carriers,Delhi,Cochin,1,6,3,8.5
Jet Airways,Delhi,Cochin,1,9,3,23.083333333333332
IndiGo,Delhi,Cochin,1,15,5,9.333333333333334
Jet Airways,Kolkata,Banglore,1,18,5,7.916666666666667
Jet Airways,Mumbai,Hyderabad,0,18,5,1.5
IndiGo,Banglore,Delhi,0,12,4,2.8333333333333335
SpiceJet,Chennai,Kolkata,0,21,5,2.25
Jet Airways,Delhi,Cochin,1,6,6,10.0
Vistara Premium economy,Banglore,Delhi,0,3,3,2.5833333333333335
Multiple carriers,Delhi,Cochin,1,15,5,7.75
SpiceJet,Banglore,Delhi,0,9,4,2.9166666666666665
Vistara,Kolkata,Banglore,1,6,5,26.333333333333332
Vistara,Banglore,Delhi,0,12,4,2.6666666666666665
Multiple carriers,Delhi,Cochin,1,9,5,11.0
Air India,Kolkata,Banglore,2,1,4,19.416666666666668
Jet Airways,Banglore,Delhi,0,18,4,2.9166666666666665
Vistara,Banglore,Delhi,0,1,6,2.75
Jet Airways,Delhi,Cochin,1,18,5,23.25
Multiple carriers,Delhi,Cochin,1,3,3,9.0
Vistara,Delhi,Cochin,0,21,4,3.1666666666666665
Multiple carriers,Delhi,Cochin,1,9,4,6.416666666666667
Multiple carriers,Delhi,Cochin,1,6,6,8.666666666666666
Air India,Banglore,Delhi,0,21,4,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,12,5,12.333333333333334
IndiGo,Delhi,Cochin,1,18,5,5.333333333333333
Air India,Banglore,Delhi,1,15,3,4.0
Jet Airways,Kolkata,Banglore,1,9,6,9.75
IndiGo,Banglore,Delhi,0,6,4,2.9166666666666665
Air India,Delhi,Cochin,2,24,6,26.333333333333332
SpiceJet,Chennai,Kolkata,0,1,6,2.25
Jet Airways,Kolkata,Banglore,1,15,5,9.75
Jet Airways,Kolkata,Banglore,1,1,4,24.916666666666668
Jet Airways,Delhi,Cochin,1,9,6,11.916666666666666
Air India,Delhi,Cochin,2,1,6,8.333333333333334
Jet Airways,Delhi,Cochin,2,27,6,17.416666666666668
GoAir,Banglore,Delhi,0,18,4,2.8333333333333335
IndiGo,Delhi,Cochin,1,6,6,7.083333333333333
Air India,Delhi,Cochin,2,18,5,21.25
Jet Airways,Delhi,Cochin,1,3,4,5.0
IndiGo,Chennai,Kolkata,0,27,6,2.4166666666666665
IndiGo,Kolkata,Banglore,1,18,5,5.25
Multiple carriers,Delhi,Cochin,1,15,6,15.166666666666666
Multiple carriers,Delhi,Cochin,1,3,6,11.75
Jet Airways,Banglore,Delhi,0,1,5,3.0
SpiceJet,Delhi,Cochin,1,24,4,4.916666666666667
IndiGo,Banglore,Delhi,0,9,3,2.75
SpiceJet,Kolkata,Banglore,0,15,6,2.5
Jet Airways,Kolkata,Banglore,1,12,5,9.75
IndiGo,Kolkata,Banglore,0,6,3,2.6666666666666665
Multiple carriers,Delhi,Cochin,1,9,6,6.5
Air Asia,Delhi,Cochin,1,3,3,5.5
Vistara,Banglore,Delhi,0,3,5,2.6666666666666665
Jet Airways,Delhi,Cochin,2,21,3,34.083333333333336
Air India,Delhi,Cochin,1,3,6,15.416666666666666
IndiGo,Delhi,Cochin,1,24,6,9.5
Jet Airways,Delhi,Cochin,1,6,3,6.083333333333333
Vistara,Banglore,Delhi,0,9,3,2.6666666666666665
GoAir,Delhi,Cochin,1,3,3,5.833333333333333
