Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Total_Duration
Jet Airways,Kolkata,Banglore,1 stop,10703,24,5,18.0
Multiple carriers,Delhi,Cochin,1 stop,9646,27,5,9.25
Multiple carriers,Delhi,Cochin,1 stop,17057,6,3,11.083333333333334
Jet Airways,Banglore,Delhi,1 stop,13817,12,3,17.5
Air India,Delhi,Cochin,2 stops,13748,6,3,13.333333333333334
Air India,Kolkata,Banglore,non-stop,4880,21,4,2.583333333333333
IndiGo,Chennai,Kolkata,non-stop,3540,21,6,2.4166666666666665
SpiceJet,Banglore,Delhi,non-stop,3257,15,5,2.6666666666666665
Jet Airways,Banglore,Delhi,non-stop,6478,3,6,3.0
Jet Airways,Mumbai,Hyderabad,non-stop,8040,18,6,1.4166666666666667
Jet Airways,Delhi,Cochin,2 stops,14300,12,6,16.583333333333332
Jet Airways,Kolkata,Banglore,1 stop,14781,15,5,12.333333333333334
Jet Airways,Kolkata,Banglore,1 stop,14939,9,6,12.25
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,7.5
Air India,Kolkata,Banglore,1 stop,6528,12,5,24.0
Air India,Banglore,Delhi,non-stop,6121,1,5,2.75
Jet Airways,Delhi,Cochin,2 stops,13029,18,5,8.916666666666666
Multiple carriers,Delhi,Cochin,1 stop,11421,27,3,7.166666666666667
Multiple carriers,Delhi,Cochin,1 stop,7574,27,3,14.5
Air India,Delhi,Cochin,2 stops,11596,9,5,30.33333333333333
Jet Airways,Delhi,Cochin,2 stops,15129,24,5,19.916666666666668
Jet Airways,Banglore,Delhi,1 stop,13555,18,3,15.0
IndiGo,Banglore,Delhi,non-stop,5780,12,4,2.9166666666666665
Vistara,Kolkata,Banglore,1 stop,9397,12,5,12.75
Jet Airways,Delhi,Cochin,1 stop,17024,6,3,10.166666666666666
GoAir,Delhi,Cochin,1 stop,5281,27,6,5.916666666666667
Multiple carriers,Delhi,Cochin,1 stop,10348,18,5,15.416666666666666
Air India,Delhi,Cochin,1 stop,12677,6,3,16.083333333333332
Multiple carriers,Delhi,Cochin,1 stop,15147,3,3,10.166666666666666
Vistara,Banglore,Delhi,non-stop,4668,12,6,2.6666666666666665
Jet Airways,Delhi,Cochin,1 stop,15554,9,5,11.916666666666666
SpiceJet,Banglore,Delhi,non-stop,3971,9,4,2.6666666666666665
Air India,Mumbai,Hyderabad,non-stop,3100,3,5,1.4166666666666667
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,14.083333333333334
IndiGo,Chennai,Kolkata,non-stop,3540,12,5,2.4166666666666665
Air India,Kolkata,Banglore,2 stops,10676,21,5,23.166666666666668
Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,18.166666666666668
Jet Airways,Kolkata,Banglore,1 stop,14388,6,5,16.0
IndiGo,Banglore,Delhi,non-stop,3943,24,6,2.833333333333333
IndiGo,Chennai,Kolkata,non-stop,3597,3,6,2.333333333333333
Air India,Banglore,Delhi,1 stop,5932,21,3,8.0
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,16.916666666666668
Vistara,Delhi,Cochin,non-stop,6216,12,5,3.1666666666666665
IndiGo,Kolkata,Banglore,non-stop,4804,15,6,2.75
Multiple carriers,Delhi,Cochin,1 stop,14067,21,5,14.0
Jet Airways,Delhi,Cochin,2 stops,15129,18,5,23.83333333333333
Jet Airways,Delhi,Cochin,2 stops,13376,6,6,21.666666666666668
Air India,Delhi,Cochin,2 stops,10441,27,6,21.25
Jet Airways,Banglore,Delhi,non-stop,4030,24,5,2.75
Jet Airways,Delhi,Cochin,1 stop,17024,3,3,10.833333333333334
Multiple carriers,Delhi,Cochin,1 stop,13017,9,4,8.0
GoAir,Kolkata,Banglore,1 stop,6686,6,6,8.25
IndiGo,Delhi,Cochin,1 stop,5636,15,6,5.416666666666667
IndiGo,Delhi,Cochin,1 stop,6442,9,6,8.583333333333334
Multiple carriers,Delhi,Cochin,1 stop,9486,21,5,11.833333333333334
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,27.58333333333333
Jet Airways,Delhi,Cochin,2 stops,15318,3,6,8.416666666666666
Air India,Delhi,Cochin,1 stop,5117,3,4,20.916666666666668
IndiGo,Delhi,Cochin,1 stop,6147,24,6,4.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,7005,9,6,8.166666666666666
SpiceJet,Kolkata,Banglore,non-stop,3873,3,4,2.333333333333333
Jet Airways,Delhi,Cochin,2 stops,9270,21,3,24.416666666666668
GoAir,Banglore,Delhi,non-stop,3898,27,6,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,14781,12,5,12.333333333333334
Jet Airways,Kolkata,Banglore,1 stop,8586,24,5,12.25
Air India,Kolkata,Banglore,2 stops,10697,9,5,23.58333333333333
Jet Airways,Delhi,Cochin,2 stops,14300,27,6,16.583333333333332
IndiGo,Banglore,Delhi,non-stop,8855,3,3,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,10844,12,5,25.75
Jet Airways,Delhi,Cochin,1 stop,17024,6,3,26.166666666666668
Jet Airways,Kolkata,Banglore,1 stop,9314,1,5,28.83333333333333
IndiGo,Banglore,Delhi,non-stop,4777,24,3,2.75
Air India,Kolkata,Banglore,1 stop,7662,9,6,25.25
IndiGo,Delhi,Cochin,1 stop,6442,9,5,9.333333333333334
SpiceJet,Delhi,Cochin,1 stop,5264,12,6,4.5
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,15.416666666666666
Air India,Mumbai,Hyderabad,non-stop,6092,3,3,1.5
SpiceJet,Banglore,Delhi,non-stop,3311,21,5,2.6666666666666665
Jet Airways,Delhi,Cochin,1 stop,6540,27,3,9.166666666666666
IndiGo,Banglore,Delhi,non-stop,3419,27,5,2.75
Jet Airways,Delhi,Cochin,1 stop,5177,3,4,22.58333333333333
Air India,Delhi,Cochin,non-stop,8246,18,4,3.083333333333333
Jet Airways,Kolkata,Banglore,1 stop,14676,9,6,11.5
Multiple carriers,Delhi,Cochin,1 stop,13587,27,6,9.5
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,12.166666666666666
Jet Airways,Kolkata,Banglore,1 stop,13044,12,6,17.583333333333332
IndiGo,Delhi,Cochin,1 stop,5073,3,4,5.083333333333333
Vistara,Kolkata,Banglore,1 stop,9345,21,5,25.83333333333333
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,20.0
Multiple carriers,Delhi,Cochin,1 stop,14277,21,5,13.0
Jet Airways,Delhi,Cochin,1 stop,10262,1,6,18.416666666666668
Jet Airways,Mumbai,Hyderabad,non-stop,5678,27,3,1.5
Multiple carriers,Delhi,Cochin,1 stop,13727,15,5,9.5
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,16.0
IndiGo,Chennai,Kolkata,non-stop,3858,12,5,2.333333333333333
SpiceJet,Delhi,Cochin,1 stop,4812,24,6,4.5
IndiGo,Delhi,Cochin,1 stop,5775,27,6,5.75
Jet Airways,Kolkata,Banglore,1 stop,10539,6,6,24.166666666666668
IndiGo,Kolkata,Banglore,non-stop,4804,3,6,2.583333333333333
Air Asia,Banglore,Delhi,non-stop,3383,12,6,2.75
IndiGo,Banglore,Delhi,1 stop,8738,3,3,4.916666666666667
Air India,Delhi,Cochin,1 stop,7165,27,3,25.58333333333333
IndiGo,Delhi,Cochin,1 stop,6412,24,6,6.333333333333333
Jet Airways,Banglore,Delhi,non-stop,8016,27,6,3.083333333333333
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,18.666666666666668
SpiceJet,Chennai,Kolkata,non-stop,3543,27,6,2.25
Jet Airways,Kolkata,Banglore,1 stop,12471,12,6,12.166666666666666
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,19.416666666666668
Air India,Banglore,Delhi,non-stop,4441,18,3,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,12537,27,3,8.416666666666666
GoAir,Kolkata,Banglore,1 stop,10091,24,3,9.25
Air India,Banglore,Delhi,non-stop,6961,3,6,2.833333333333333
IndiGo,Delhi,Cochin,non-stop,5013,24,4,3.25
Air India,Delhi,Cochin,non-stop,6934,18,5,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,10877,3,6,12.333333333333334
Jet Airways,Banglore,Delhi,non-stop,7229,18,4,2.9166666666666665
IndiGo,Delhi,Cochin,1 stop,7048,27,3,9.583333333333334
Vistara,Banglore,Delhi,non-stop,4878,27,6,2.583333333333333
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,9.5
Jet Airways,Delhi,Cochin,2 stops,15129,18,5,29.33333333333333
IndiGo,Banglore,Delhi,non-stop,3943,12,5,2.9166666666666665
SpiceJet,Delhi,Cochin,1 stop,5583,6,6,5.25
Multiple carriers,Delhi,Cochin,1 stop,9646,6,6,9.083333333333334
Multiple carriers,Delhi,Cochin,1 stop,7677,3,6,10.75
IndiGo,Delhi,Cochin,1 stop,6842,1,6,4.916666666666667
Jet Airways,Mumbai,Hyderabad,non-stop,4995,24,6,1.5
Vistara,Kolkata,Banglore,1 stop,9555,9,6,11.666666666666666
IndiGo,Banglore,Delhi,non-stop,4077,1,6,2.75
Jet Airways,Banglore,Delhi,non-stop,7229,12,5,2.9166666666666665
Multiple carriers,Delhi,Cochin,1 stop,12192,9,6,10.0
Air India,Banglore,Delhi,non-stop,5911,12,4,2.75
Air India,Delhi,Cochin,1 stop,8372,12,6,10.25
Jet Airways,Mumbai,Hyderabad,non-stop,4995,18,3,1.4166666666666667
Multiple carriers,Delhi,Cochin,1 stop,14323,9,5,9.25
Jet Airways,Delhi,Cochin,2 stops,13014,9,6,22.916666666666668
Air India,Delhi,Cochin,2 stops,13591,6,6,28.83333333333333
Jet Airways,Delhi,Cochin,2 stops,18799,3,3,37.41666666666666
IndiGo,Banglore,Delhi,non-stop,3943,27,4,2.833333333333333
SpiceJet,Mumbai,Hyderabad,non-stop,1965,21,5,1.5
Jet Airways,Mumbai,Hyderabad,non-stop,4995,27,5,1.5
Air India,Kolkata,Banglore,1 stop,14641,24,3,25.666666666666668
Air India,Kolkata,Banglore,non-stop,4460,12,4,2.583333333333333
Air India,Delhi,Cochin,1 stop,10191,18,5,6.25
Jet Airways,Delhi,Cochin,1 stop,13843,9,3,17.5
IndiGo,Delhi,Cochin,1 stop,6349,1,5,5.75
Air Asia,Kolkata,Banglore,non-stop,4409,1,5,2.583333333333333
Jet Airways,Delhi,Cochin,1 stop,17024,6,3,25.5
Multiple carriers,Delhi,Cochin,1 stop,13727,18,5,13.916666666666666
IndiGo,Banglore,Delhi,non-stop,8855,15,3,2.9166666666666665
Multiple carriers,Delhi,Cochin,1 stop,12524,24,6,10.25
Jet Airways,Banglore,Delhi,1 stop,13555,18,3,8.666666666666666
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,5.5
Multiple carriers,Delhi,Cochin,1 stop,13587,9,6,12.0
SpiceJet,Chennai,Kolkata,non-stop,3543,12,6,2.25
Vistara,Chennai,Kolkata,non-stop,4842,18,3,2.25
IndiGo,Banglore,Delhi,non-stop,3943,24,4,2.833333333333333
Jet Airways,Delhi,Cochin,1 stop,10577,9,6,9.166666666666666
IndiGo,Delhi,Cochin,1 stop,6979,15,5,10.416666666666666
Vistara,Chennai,Kolkata,non-stop,11982,27,6,2.333333333333333
SpiceJet,Delhi,Cochin,1 stop,5264,6,6,4.5
Vistara,Delhi,Cochin,non-stop,8001,3,3,3.1666666666666665
Air India,Delhi,Cochin,2 stops,10651,1,6,23.5
Jet Airways,Kolkata,Banglore,1 stop,10844,24,5,27.33333333333333
Multiple carriers,Delhi,Cochin,1 stop,6601,27,3,12.583333333333334
Air India,Delhi,Cochin,1 stop,6587,21,3,24.25
SpiceJet,Mumbai,Hyderabad,non-stop,3173,21,3,1.3333333333333333
Air India,Banglore,Delhi,non-stop,5228,9,5,2.75
Jet Airways,Banglore,Delhi,non-stop,5769,21,6,3.0
Jet Airways,Delhi,Cochin,1 stop,14714,6,6,11.0
Jet Airways,Delhi,Cochin,2 stops,13014,3,6,13.5
IndiGo,Banglore,Delhi,non-stop,3359,3,6,2.833333333333333
GoAir,Banglore,Delhi,non-stop,6722,3,3,2.9166666666666665
IndiGo,Kolkata,Banglore,non-stop,4462,18,3,2.75
IndiGo,Delhi,Cochin,1 stop,6171,9,3,11.25
Air India,Kolkata,Banglore,2 stops,12303,21,5,14.583333333333334
Multiple carriers,Delhi,Cochin,1 stop,7695,21,3,13.916666666666666
IndiGo,Delhi,Cochin,1 stop,5684,24,6,14.083333333333334
Air India,Kolkata,Banglore,1 stop,8366,12,6,15.083333333333334
Air India,Chennai,Kolkata,non-stop,19630,1,3,2.25
Jet Airways,Banglore,Delhi,1 stop,13502,6,3,15.0
Jet Airways,Kolkata,Banglore,1 stop,14781,1,5,12.916666666666666
Multiple carriers,Delhi,Cochin,1 stop,6513,12,6,9.0
Air India,Delhi,Cochin,1 stop,9929,1,6,12.25
Multiple carriers,Delhi,Cochin,2 stops,18275,6,6,7.666666666666667
Air India,Delhi,Cochin,1 stop,4487,9,4,27.33333333333333
IndiGo,Mumbai,Hyderabad,non-stop,2754,15,3,1.4166666666666667
Air India,Mumbai,Hyderabad,non-stop,2575,27,3,1.3333333333333333
SpiceJet,Kolkata,Banglore,1 stop,8224,12,6,5.5
Air India,Delhi,Cochin,1 stop,8991,9,3,11.75
IndiGo,Delhi,Cochin,non-stop,5000,24,6,3.25
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,24.916666666666668
Air India,Delhi,Cochin,1 stop,14042,3,3,27.33333333333333
Jet Airways,Banglore,Delhi,non-stop,4030,24,5,2.9166666666666665
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,17.083333333333332
IndiGo,Kolkata,Banglore,non-stop,4804,6,5,2.6666666666666665
Multiple carriers,Delhi,Cochin,1 stop,7308,27,5,8.0
IndiGo,Banglore,Delhi,non-stop,4823,12,5,3.0
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,27.58333333333333
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,7.5
Air India,Banglore,Delhi,2 stops,12778,12,3,22.916666666666668
IndiGo,Delhi,Cochin,1 stop,14871,3,3,8.583333333333334
Air India,Delhi,Cochin,2 stops,8708,21,3,29.916666666666668
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,22.25
SpiceJet,Mumbai,Hyderabad,non-stop,4129,6,3,1.3333333333333333
IndiGo,Kolkata,Banglore,non-stop,4804,18,5,2.6666666666666665
Jet Airways,Banglore,Delhi,non-stop,7229,6,5,3.0
Jet Airways,Banglore,Delhi,1 stop,7832,21,3,12.166666666666666
SpiceJet,Chennai,Kolkata,non-stop,3859,18,3,2.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,9001,6,6,11.75
Vistara,Banglore,Delhi,non-stop,4878,9,5,2.583333333333333
IndiGo,Mumbai,Hyderabad,non-stop,2754,3,5,1.5
Vistara,Banglore,Delhi,non-stop,4668,27,6,2.6666666666666665
Air Asia,Kolkata,Banglore,non-stop,5216,12,5,2.583333333333333
Jet Airways,Delhi,Cochin,2 stops,10368,6,6,22.916666666666668
IndiGo,Delhi,Cochin,2 stops,8146,9,3,14.666666666666666
Jet Airways,Delhi,Cochin,1 stop,12242,27,3,15.416666666666666
Jet Airways,Banglore,Delhi,1 stop,9134,15,3,7.25
Air India,Delhi,Cochin,2 stops,10939,6,6,20.166666666666668
Air India,Delhi,Cochin,2 stops,11753,6,6,20.75
SpiceJet,Kolkata,Banglore,non-stop,4174,24,4,2.5
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,23.83333333333333
Jet Airways,Delhi,Cochin,1 stop,14714,3,6,27.0
Jet Airways,Kolkata,Banglore,1 stop,9899,12,6,5.5
IndiGo,Delhi,Cochin,1 stop,14871,3,3,11.833333333333334
IndiGo,Chennai,Kolkata,non-stop,7295,6,3,2.25
Air India,Delhi,Cochin,2 stops,13465,6,6,24.5
SpiceJet,Chennai,Kolkata,non-stop,3543,21,5,2.333333333333333
Multiple carriers,Delhi,Cochin,1 stop,7198,27,6,6.5
Jet Airways,Delhi,Cochin,1 stop,10262,1,6,20.416666666666668
IndiGo,Kolkata,Banglore,non-stop,4148,15,3,2.583333333333333
Jet Airways,Banglore,Delhi,non-stop,8016,27,6,2.9166666666666665
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,5.583333333333333
SpiceJet,Kolkata,Banglore,non-stop,3841,15,6,2.5
Jet Airways,Banglore,Delhi,1 stop,11507,12,3,14.75
Jet Airways,Kolkata,Banglore,1 stop,14781,1,5,12.333333333333334
Jet Airways,Delhi,Cochin,1 stop,16079,27,5,25.5
Jet Airways,Delhi,Cochin,1 stop,12898,27,5,5.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,15353,6,3,11.75
IndiGo,Banglore,Delhi,non-stop,7303,24,3,2.9166666666666665
SpiceJet,Kolkata,Banglore,1 stop,6197,24,3,5.666666666666667
Air India,Kolkata,Banglore,1 stop,8996,9,6,4.083333333333333
IndiGo,Delhi,Cochin,1 stop,6528,21,3,8.0
GoAir,Banglore,Delhi,non-stop,4239,9,4,2.75
IndiGo,Kolkata,Banglore,non-stop,4148,12,3,2.6666666666666665
SpiceJet,Banglore,Delhi,non-stop,3971,24,5,2.9166666666666665
Air Asia,Kolkata,Banglore,1 stop,5192,6,5,15.916666666666666
Jet Airways,Delhi,Cochin,2 stops,9483,9,4,23.166666666666668
Jet Airways,Delhi,Cochin,2 stops,18804,3,6,7.333333333333333
Air India,Delhi,Cochin,non-stop,5201,18,6,2.833333333333333
Jet Airways,Delhi,Cochin,1 stop,16079,27,5,7.5
Jet Airways,Banglore,Delhi,non-stop,7229,15,6,3.0
Multiple carriers,Delhi,Cochin,1 stop,6795,27,5,7.75
Jet Airways,Kolkata,Banglore,1 stop,10953,9,5,25.33333333333333
Multiple carriers,Delhi,Cochin,2 stops,15965,24,6,10.416666666666666
Air India,Delhi,Cochin,2 stops,9968,9,4,30.33333333333333
IndiGo,Kolkata,Banglore,non-stop,4804,6,6,2.583333333333333
Jet Airways,Delhi,Cochin,1 stop,16079,27,5,9.0
Jet Airways,Delhi,Cochin,2 stops,11507,12,6,15.166666666666666
Air India,Kolkata,Banglore,2 stops,11542,9,6,28.33333333333333
Jet Airways,Banglore,Delhi,non-stop,7229,24,4,3.0
Jet Airways,Banglore,Delhi,non-stop,4544,27,4,2.75
IndiGo,Delhi,Cochin,1 stop,6496,15,5,4.916666666666667
IndiGo,Kolkata,Banglore,non-stop,4804,15,6,2.6666666666666665
Air India,Banglore,Delhi,1 stop,13439,1,3,22.166666666666668
Jet Airways,Delhi,Cochin,1 stop,6540,27,3,10.166666666666666
IndiGo,Banglore,Delhi,non-stop,4591,1,6,2.833333333333333
IndiGo,Banglore,Delhi,1 stop,4437,18,3,4.333333333333333
Air Asia,Delhi,Cochin,1 stop,6151,21,3,11.0
Jet Airways,Banglore,Delhi,non-stop,7754,21,6,3.0
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,22.58333333333333
Jet Airways,Banglore,Delhi,non-stop,8016,9,6,3.083333333333333
SpiceJet,Kolkata,Banglore,non-stop,4781,24,3,2.6666666666666665
Vistara,Banglore,Delhi,non-stop,4668,27,6,2.833333333333333
Air India,Banglore,Delhi,1 stop,14594,6,3,21.08333333333333
Jet Airways,Kolkata,Banglore,1 stop,14231,24,3,11.833333333333334
Air India,Delhi,Cochin,1 stop,8425,15,5,25.58333333333333
Multiple carriers,Delhi,Cochin,1 stop,9646,12,6,15.416666666666666
IndiGo,Chennai,Kolkata,non-stop,7295,3,3,2.4166666666666665
Air Asia,Kolkata,Banglore,1 stop,5162,9,4,3.6666666666666665
IndiGo,Banglore,Delhi,non-stop,6860,9,3,2.9166666666666665
Vistara,Delhi,Cochin,non-stop,6216,15,4,3.1666666666666665
Air Asia,Kolkata,Banglore,1 stop,5192,24,5,11.833333333333334
IndiGo,Banglore,Delhi,non-stop,4823,9,4,2.833333333333333
SpiceJet,Banglore,Delhi,non-stop,3919,3,4,2.833333333333333
IndiGo,Mumbai,Hyderabad,non-stop,2754,3,6,1.5
Multiple carriers,Delhi,Cochin,1 stop,9315,9,5,11.5
Multiple carriers,Delhi,Cochin,1 stop,11667,27,3,8.833333333333334
Jet Airways,Kolkata,Banglore,1 stop,6224,12,6,20.25
Air India,Kolkata,Banglore,2 stops,13349,24,3,20.166666666666668
Jet Airways,Banglore,Delhi,1 stop,11087,18,3,16.083333333333332
Multiple carriers,Delhi,Cochin,1 stop,15603,6,3,12.583333333333334
Jet Airways,Delhi,Cochin,2 stops,15129,9,5,17.083333333333332
IndiGo,Banglore,Delhi,non-stop,4823,9,4,3.0
Vistara,Kolkata,Banglore,1 stop,8452,1,5,15.5
Multiple carriers,Delhi,Cochin,1 stop,12524,6,6,11.5
SpiceJet,Chennai,Kolkata,non-stop,3384,27,3,2.333333333333333
Jet Airways,Delhi,Cochin,1 stop,10262,1,6,23.75
SpiceJet,Mumbai,Hyderabad,non-stop,1965,18,6,1.5
IndiGo,Kolkata,Banglore,non-stop,4804,18,5,2.583333333333333
Jet Airways,Delhi,Cochin,1 stop,16079,27,5,24.75
Jet Airways,Delhi,Cochin,2 stops,13292,1,6,21.58333333333333
Air Asia,Delhi,Cochin,1 stop,6751,9,5,5.5
Air India,Delhi,Cochin,1 stop,8669,15,5,12.25
IndiGo,Delhi,Cochin,1 stop,14871,3,3,8.083333333333334
Jet Airways,Delhi,Cochin,1 stop,12898,21,5,5.0
SpiceJet,Banglore,Delhi,non-stop,3919,6,6,2.833333333333333
